Slice,Quality,Compressed_Bytes,Bits_Per_Pixel,Compression_Ratio,RMSE,PSNR_dB,SSIM,Edge_RMSE,Edge_PSNR_dB
I50.dcm,30,33786,1.0311,15.52,304.32,46.66,0.9742,1112.07,18.29
I50.dcm,60,34669,1.0580,15.12,198.34,50.38,0.9866,764.76,21.54
I50.dcm,90,38109,1.1630,13.76,89.69,57.27,0.9977,390.34,27.39
I100.dcm,30,33692,1.0282,15.56,262.07,47.96,0.9846,832.15,20.82
I100.dcm,60,34129,1.0415,15.36,194.73,50.54,0.9866,592.28,23.77
I100.dcm,90,36178,1.1041,14.49,77.76,58.51,0.9987,327.30,28.92
I150.dcm,30,33393,1.0191,15.70,197.54,50.42,0.9826,706.88,23.95
I150.dcm,60,33754,1.0301,15.53,177.95,51.32,0.9852,461.81,27.65
I150.dcm,90,35668,1.0885,14.70,47.04,62.88,0.9988,203.28,34.78
I200.dcm,30,33441,1.0205,15.68,189.76,50.77,0.9839,608.74,18.72
I200.dcm,60,33736,1.0295,15.54,180.64,51.19,0.9845,364.23,23.19
I200.dcm,90,35292,1.0770,14.86,37.86,64.77,0.9992,152.52,30.75
I250.dcm,30,33388,1.0189,15.70,209.42,49.91,0.9799,767.74,23.22
I250.dcm,60,33847,1.0329,15.49,177.07,51.37,0.9857,495.42,27.03
I250.dcm,90,35862,1.0944,14.62,48.32,62.65,0.9987,210.83,34.45
